'132', '任三组选_组三单式', '73', '326.67'
'133', '任三组选_组六复式', '73', '163.33'
'134', '任三组选_组六单式', '73', '163.33'
'135', '任三组选_混合组选', '73', '326.67'
'137', '任三组选_组选和值', '73', '326.67'
'139', '任选四_直选复式', '73', '9800.00'
'140', '任四直选_直选单式', '73', '9800.00'
'141', '任四组选_组选24', '73', '408.33'
'142', '任四组选_组选12', '73', '816.67'
'143', '任四组选_组选6', '73', '1633.33'
'144', '任四组选_组选4', '73', '2450.00'
'244', '四星_后四一码', '73', '2.85'
'245', '四星_后四二码', '73', '10.06'
'1146', '前三组选_组三单式', '73', '326.67'
'1147', '前三组选_组六单式', '73', '163.33'
'116', '三星_后三二码', '73', '18.15'
'117', '四星_前四一码', '73', '2.85'
'118', '四星_前四二码', '73', '10.06'
'119', '五星_五星一码', '73', '2.39'
'120', '五星_五星二码', '73', '6.68'
'121', '五星_五星三码', '73', '22.53'
'122', '任选二_直选复式', '73', '98.00'
'123', '任二直选_直选单式', '73', '98.00'
'124', '任二直选_直选和值', '73', '98.00'
'125', '任二组选_组选复式', '73', '49.00'
'126', '任二组选_组选单式', '73', '49.00'
'127', '任二组选_组选和值', '73', '49.00'
'128', '任选三_直选复式', '73', '980.00'
'129', '任三直选_直选单式', '73', '980.00'
'130', '任三直选_直选和值', '73', '980.00'
'131', '任三组选_组三复式', '73', '326.67'
'37', '定位胆_定位胆', '73', '9.80'
'38', '前二_复式', '73', '98.00'
'39', '前二直选_单式', '73', '98.00'
'40', '前二直选_和值', '73', '98.00'
'41', '前二直选_跨度', '73', '98.00'
'46', '前二组选_复式', '73', '49.00'
'47', '前二组选_单式', '73', '49.00'
'48', '前二组选_和值', '73', '49.00'
'49', '前二组选_包胆', '73', '49.00'
'54', '前三_复式', '73', '980.00'
'55', '前三直选_单式', '73', '980.00'
'56', '前三直选_和值', '73', '980.00'
'57', '前三直选_跨度', '73', '980.00'
'58', '前三直选_组合', '73', '980.00'
'59', '前三组选_组三复式', '73', '326.67'
'60', '前三组选_组六复式', '73', '163.33'
'61', '前三组选_混合组选', '73', '326.67'
'63', '前三组选_组选和值', '73', '326.67'
'65', '前三组选_组选包胆', '73', '326.67'
'67', '前三其它_前三和值尾数', '73', '9.80'
'68', '前三其它_特殊号', '73', '98.00'
'88', '后三_复式', '73', '980.00'
'89', '后三直选_单式', '73', '980.00'
'90', '后三直选_和值', '73', '980.00'
'91', '后三直选_跨度', '73', '980.00'
'92', '后三直选_组合', '73', '980.00'
'93', '后三组选_组三复式', '73', '326.67'
'94', '后三组选_组六复式', '73', '163.33'
'95', '后三组选_混合组选', '73', '326.67'
'97', '后三组选_组选和值', '73', '326.67'
'99', '后三组选_组选包胆', '73', '326.67'
'101', '后三其它_后三和值尾数', '73', '9.80'
'102', '后三其它_特殊号', '73', '98.00'
'105', '四星_复式', '73', '9800.00'
'106', '四星直选_单式', '73', '9800.00'
'107', '五星_复式', '73', '98000.00'
'108', '五星直选_单式', '73', '98000.00'
'109', '后二大小单双', '73', '3.92'
'110', '后三大小单双', '73', '7.84'
'111', '前二大小单双', '73', '3.92'
'112', '前三大小单双', '73', '7.84'
'113', '不定位_前三一码', '73', '3.62'
'114', '三星_前三二码', '73', '18.15'
'115', '三星_后三一码', '73', '3.62'
'1148', '后三组选_组三单式', '73', '326.67'
'1149', '后三组选_组六单式', '73', '163.33'
'227', '定位胆_定位胆', '52', '9.80'
'226', '前三直选_直选单式', '52', '705.60'
'225', '前三_直选复式', '52', '705.60'
'224', '前二直选_直选单式', '52', '88.20'
'223', '前二_直选复式', '52', '88.20'
'222', '前一_直选复式', '52', '9.80'
'37', '定位胆_定位胆', '51', '9.80'
'38', '前二_复式', '51', '98.00'
'39', '前二直选_单式', '51', '98.00'
'40', '前二直选_和值', '51', '98.00'
'41', '前二直选_跨度', '51', '98.00'
'46', '前二组选_复式', '51', '49.00'
'47', '前二组选_单式', '51', '49.00'
'48', '前二组选_和值', '51', '49.00'
'49', '前二组选_包胆', '51', '49.00'
'54', '前三_复式', '51', '980.00'
'55', '前三直选_单式', '51', '980.00'
'56', '前三直选_和值', '51', '980.00'
'57', '前三直选_跨度', '51', '980.00'
'58', '前三直选_组合', '51', '980.00'
'59', '前三组选_组三复式', '51', '326.67'
'60', '前三组选_组六复式', '51', '163.33'
'61', '前三组选_混合组选', '51', '326.67'
'63', '前三组选_组选和值', '51', '326.67'
'65', '前三组选_组选包胆', '51', '326.67'
'67', '前三其它_前三和值尾数', '51', '9.80'
'68', '前三其它_特殊号', '51', '98.00'
'88', '后三_复式', '51', '980.00'
'89', '后三直选_单式', '51', '980.00'
'90', '后三直选_和值', '51', '980.00'
'91', '后三直选_跨度', '51', '980.00'
'92', '后三直选_组合', '51', '980.00'
'93', '后三组选_组三复式', '51', '326.67'
'94', '后三组选_组六复式', '51', '163.33'
'95', '后三组选_混合组选', '51', '326.67'
'97', '后三组选_组选和值', '51', '326.67'
'99', '后三组选_组选包胆', '51', '326.67'
'101', '后三其它_后三和值尾数', '51', '9.80'
'102', '后三其它_特殊号', '51', '98.00'
'105', '四星_复式', '51', '9800.00'
'106', '四星直选_单式', '51', '9800.00'
'107', '五星_复式', '51', '98000.00'
'108', '五星直选_单式', '51', '98000.00'
'109', '后二大小单双', '51', '3.92'
'110', '后三大小单双', '51', '7.84'
'111', '前二大小单双', '51', '3.92'
'112', '前三大小单双', '51', '7.84'
'113', '不定位_前三一码', '51', '3.62'
'114', '三星_前三二码', '51', '18.15'
'115', '三星_后三一码', '51', '3.62'
'116', '三星_后三二码', '51', '18.15'
'117', '四星_前四一码', '51', '2.85'
'118', '四星_前四二码', '51', '10.06'
'119', '五星_五星一码', '51', '2.39'
'120', '五星_五星二码', '51', '6.68'
'121', '五星_五星三码', '51', '22.53'
'122', '任选二_直选复式', '51', '98.00'
'123', '任二直选_直选单式', '51', '98.00'
'124', '任二直选_直选和值', '51', '98.00'
'125', '任二组选_组选复式', '51', '49.00'
'126', '任二组选_组选单式', '51', '49.00'
'127', '任二组选_组选和值', '51', '49.00'
'128', '任选三_直选复式', '51', '980.00'
'129', '任三直选_直选单式', '51', '980.00'
'130', '任三直选_直选和值', '51', '980.00'
